X rot 2,Y rot 2,X rot(CF) 2,Y rot(CF) 2
-10.37643440612915,-25.84491163329432,-0.8185578162929106,-2.9888612224151
-6.544521883585904,-55.20788931433227,-1.1842728304691503,-7.71778430681179
-9.755967657230887,-7.598471366501625,-1.7077325159522112,-7.832188737834983
21.140830516083547,-23.712879804603052,0.7637959350781023,-9.883121847603629
0.8615515557992427,-48.62623881893593,0.5423178906300257,-14.075430928313764
12.720098819814105,-49.645525924240786,1.6080039035868512,-17.378322671405627
-3.857281248510421,-39.856138625982176,0.4490815282815218,-20.057617975093684
-13.3857436632358,-62.729553411207355,-0.8577000530156997,-22.87876979446787
-8.005000401368958,-4.978175562629027,-1.2198128557154717,-19.045202316946693
4.285836796981114,-4.076872275039189,-0.6393564604434295,-16.358391484361047
-4.815070551922199,-17.70820551308182,-1.3698597899254088,-15.67726933645937
-21.804720036916507,-19.99072122516395,-3.7049020819292218,-15.336680068828143
-22.459967520181117,-8.56047695170387,-5.411822035253065,-13.99784878528953
-2.714905987333858,-1.7659430631839326,-4.696826174302637,-12.506529436116226
12.706181172482529,-6.439779612213348,-2.7723529661254167,-12.074842222052759
-5.84242612218023,-19.243998249243038,-3.4808304049169694,-13.45721694193475
-22.830032077212895,-25.044921460224714,-5.789612048098338,-15.366305786648976
-18.693006523063236,-29.116596416468486,-6.742277553427741,-17.18035250875837
-5.256706293773163,-32.88065582173081,-5.96493516681653,-18.99499109036289
-0.49761832427929453,-30.973400839867335,-5.002927588267769,-20.195121254604057
-4.922002094967749,-26.236286171381643,-4.557360287747934,-20.761356885059868
-2.452915204408074,-31.998417621997913,-4.028074631009942,-21.832634755301125
-1.234861120837145,-30.8973610721914,-3.5135793345896302,-22.510037451705728
-3.5060388263243594,-26.649996685025624,-3.3079923339495196,-22.584343255543956
-5.947692335154037,-29.376657186127392,-3.4020795441789913,-22.858084948390413
-4.085157076335331,-29.258097330936142,-3.4336994137919503,-23.079161748298162
-7.4745542697777045,-25.903422622398157,-3.8081725354735605,-22.663623453613166
-13.203004349174806,-16.911513336108623,-4.712261416298238,-21.297301994536095
-22.007680433083145,-7.908789501452161,-6.249191986551242,-19.34203661446141
-17.168787226968654,-13.130561197445111,-6.821161892387778,-18.264457025853112
-8.413484251767333,-13.469522597586023,-6.302296593019639,-17.383237538967037
1.6395186262533779,-10.808680721307978,-4.769818981070687,-16.424218836454173
11.000852276613692,-10.065908406517417,-2.51077674648673,-15.665210800790351
17.84122317106026,-7.47803762984782,0.0022076492699460992,-14.90386309853603
11.20481489552639,-8.11097589015114,1.1264858719347886,-14.550077197554277
-10.577192425976737,-19.256908385259855,-0.19695694466872515,-15.690992257165917
-15.301807472668765,-18.39245965199041,-1.5288182300686783,-16.508982918933715
-5.056146609066783,-10.40543496752971,-1.2689540868429612,-16.476912862612576
15.589722589127854,-14.08945340920855,1.2460382542676958,-17.27420133191224
25.657477725986823,-22.243737259700623,4.252719250297277,-18.984302665843547
15.720557630787814,-11.636983736788318,5.584999703386809,-19.404732603041793
11.397379857111284,-24.484561211215564,6.181584061449099,-21.773262767019258
6.160535661846891,-42.179423641490274,6.033726943303862,-25.548198117739496
3.9118414364824514,-39.02746508371018,5.834580699696091,-28.36538691916339
